Country,Code,Year,Health_GDP,Health_GDP_2000,Change_since_2000,RollingAvg_5yr
Australia,AUS,1994,4.503,5.189,-13.220273655810367,4.4475999999999996
Australia,AUS,1995,4.59,5.189,-11.543650028907308,4.5096
Australia,AUS,1996,4.644,5.189,-10.502987088070919,4.545399999999999
Australia,AUS,1997,4.763,5.189,-8.209674311042594,4.5988
Australia,AUS,1998,4.897,5.189,-5.6272884948930395,4.679399999999999
Australia,AUS,1999,5.098,5.189,-1.753709770668726,4.7984
Australia,AUS,2000,5.189,5.189,0.0,4.918200000000001
Australia,AUS,2001,5.2,5.189,0.21198689535556217,5.029400000000001
Australia,AUS,2002,5.402,5.189,4.104837155521297,5.1572000000000005
Australia,AUS,2003,5.36,5.189,3.2954326459818897,5.2498000000000005
Australia,AUS,2004,5.524,5.189,6.455964540373866,5.335
Australia,AUS,2005,5.448,5.189,4.99132780882637,5.3868
Australia,AUS,2006,5.445,5.189,4.933513201002125,5.4358
Australia,AUS,2007,5.58,5.189,7.5351705530930815,5.4714
Australia,AUS,2008,5.691,5.189,9.674311042590091,5.5376
Australia,AUS,2009,5.92,5.189,14.08749277317402,5.6168
Australia,AUS,2010,5.778,5.189,11.35093466949315,5.682799999999999
Australia,AUS,2011,5.906,5.189,13.817691269994212,5.775
Australia,AUS,2012,5.855,5.189,12.834842936982085,5.83
Australia,AUS,2013,5.681,5.189,9.481595683175948,5.827999999999999
Australia,AUS,2014,6.638,5.189,27.924455579109654,5.9716000000000005
Australia,AUS,2015,6.978,5.189,34.476777799190586,6.2116
Australia,AUS,2016,6.941,5.189,33.76373096935825,6.4186000000000005
Australia,AUS,2017,6.98,5.189,34.51532087107343,6.643599999999999
Australia,AUS,2018,6.992,5.189,34.74657930237039,6.905800000000001
Australia,AUS,2019,7.347,5.189,41.587974561572565,7.0476
Australia,AUS,2020,7.671,5.189,47.83195220659087,7.186200000000001
Australia,AUS,2021,7.765,5.189,49.643476585083825,7.350999999999999
Australia,AUS,2022,7.212,5.189,38.98631720948159,7.3974
Australia,AUS,2023,7.006,5.189,35.016380805550206,7.400200000000001
Austria,AUT,1880,0.0,6.952,-100.0,0.0
Austria,AUT,1890,0.0,6.952,-100.0,0.0
Austria,AUT,1900,0.0,6.952,-100.0,0.0
Austria,AUT,1910,0.0,6.952,-100.0,0.0
Austria,AUT,1920,0.0,6.952,-100.0,0.0
Austria,AUT,1930,0.0,6.952,-100.0,0.0
Austria,AUT,1960,2.6331336,6.952,-62.12408515535098,0.52662672
Austria,AUT,1961,2.6580007,6.952,-61.76638808975834,1.05822686
Austria,AUT,1962,2.7012048,6.952,-61.14492520138089,1.5984678200000002
Austria,AUT,1963,2.7754536,6.952,-60.07690448791714,2.15355854
Austria,AUT,1964,2.7240863,6.952,-60.815789700805524,2.6983758
Austria,AUT,1965,2.8363228,6.952,-59.20134062140392,2.73901364
Austria,AUT,1966,2.8750608,6.952,-58.64411967779056,2.7824256600000004
Austria,AUT,1967,3.093795,6.952,-55.49777042577675,2.8609437
Austria,AUT,1968,2.9914606,6.952,-56.96978423475259,2.9041451
Austria,AUT,1969,3.1752229,6.952,-54.3264830264672,2.99437242
Austria,AUT,1970,2.944,6.952,-57.65247410817032,3.01590786
Austria,AUT,1971,2.921,6.952,-57.98331415420024,3.0250957
Austria,AUT,1972,2.909,6.952,-58.15592635212889,2.9881366999999996
Austria,AUT,1973,2.97,6.952,-57.27848101265822,2.98384458
Austria,AUT,1974,3.22,6.952,-53.68239355581127,2.9928
Austria,AUT,1975,4.414,6.952,-36.50747986191025,3.2867999999999995
Austria,AUT,1976,4.586,6.952,-34.033371691599534,3.6198
Austria,AUT,1977,4.568,6.952,-34.29228998849253,3.9516000000000004
Austria,AUT,1978,4.727,6.952,-32.00517836593785,4.303
Austria,AUT,1979,4.61,6.952,-33.688147295742226,4.581
Austria,AUT,1980,4.72,6.952,-32.105868814729575,4.6422
Austria,AUT,1981,4.465,6.952,-35.77387802071347,4.618
Austria,AUT,1982,4.427,6.952,-36.3204833141542,4.589799999999999
Austria,AUT,1983,4.339,6.952,-37.58630609896432,4.5122
Austria,AUT,1984,4.344,6.952,-37.51438434982738,4.459
Austria,AUT,1985,4.482,6.952,-35.52934407364787,4.4114
Austria,AUT,1986,4.565,6.952,-34.33544303797468,4.4314
Austria,AUT,1987,4.779,6.952,-31.257192174913694,4.5018
Austria,AUT,1988,4.743,6.952,-31.77502876869965,4.582600000000001
Austria,AUT,1989,4.715,6.952,-32.177790563866516,4.6568000000000005
Austria,AUT,1990,5.74,6.952,-17.433831990794012,4.908399999999999
Austria,AUT,1991,5.792,6.952,-16.68584579976985,5.1538
Austria,AUT,1992,6.048,6.952,-13.003452243958572,5.4076
Austria,AUT,1993,6.467,6.952,-6.976409666283089,5.7524
Austria,AUT,1994,6.828,6.952,-1.7836593785960826,6.175
Austria,AUT,1995,6.716,6.952,-3.3947065592635184,6.3702
Austria,AUT,1996,6.661,6.952,-4.185845799769856,6.544
Austria,AUT,1997,6.781,6.952,-2.459723820483318,6.690600000000001
Austria,AUT,1998,6.902,6.952,-0.7192174913693876,6.777600000000001
Austria,AUT,1999,7.037,6.952,1.2226697353279625,6.8194
Austria,AUT,2000,6.952,6.952,0.0,6.8666
Austria,AUT,2001,6.953,6.952,0.014384349827392605,6.925
Austria,AUT,2002,7.027,6.952,1.0788262370540878,6.974200000000001
Austria,AUT,2003,7.112,6.952,2.3014959723820505,7.0162
Austria,AUT,2004,7.125,6.952,2.4884925201380903,7.033800000000001
Austria,AUT,2005,7.122,6.952,2.445339470655925,7.0678
Austria,AUT,2006,7.091,6.952,1.9994246260069077,7.095400000000001
Austria,AUT,2007,7.089,6.952,1.9706559263521357,7.1078
Austria,AUT,2008,7.29,6.952,4.861910241657078,7.1434
Austria,AUT,2009,7.68,6.952,10.471806674338316,7.2543999999999995
Austria,AUT,2010,7.63,6.952,9.75258918296893,7.356
Austria,AUT,2011,7.481,6.952,7.6093210586881455,7.434
Austria,AUT,2012,7.617,6.952,9.565592635212889,7.5396
Austria,AUT,2013,7.612,6.952,9.493670886075952,7.603999999999999
Austria,AUT,2014,7.673,6.952,10.371116225546606,7.6026
Austria,AUT,2015,7.678,6.952,10.443037974683545,7.6122
Austria,AUT,2016,7.657,6.952,10.140966628308401,7.647399999999999
Austria,AUT,2017,7.686,6.952,10.558112773302646,7.661199999999999
Austria,AUT,2018,7.727,6.952,11.147871116225552,7.6842
Austria,AUT,2019,7.873,6.952,13.24798619102417,7.724200000000001
Austria,AUT,2020,8.707,6.952,25.244533947065605,7.9300000000000015
Austria,AUT,2021,9.504,6.952,36.70886075949367,8.2994
Austria,AUT,2022,8.653,6.952,24.46777905638666,8.492799999999999
Austria,AUT,2023,8.451,6.952,21.56214039125432,8.6376
Belgium,BEL,1880,0.06,5.968,-98.9946380697051,0.06
Belgium,BEL,1890,0.11,5.968,-98.15683646112599,0.08499999999999999
Belgium,BEL,1900,0.12,5.968,-97.98927613941018,0.09666666666666666
Belgium,BEL,1910,0.18,5.968,-96.98391420911528,0.1175
Belgium,BEL,1920,0.21,5.968,-96.48123324396784,0.13599999999999998
Belgium,BEL,1930,0.09,5.968,-98.49195710455764,0.142
Belgium,BEL,1992,5.665,5.968,-5.077077747989275,1.253
Belgium,BEL,1993,5.701,5.968,-4.473860589812338,2.3692
Belgium,BEL,1994,5.502,5.968,-7.808310991957108,3.4335999999999998
Belgium,BEL,1995,5.774,5.968,-3.250670241286863,4.5464
Belgium,BEL,1996,6.109,5.968,2.3626005361930296,5.7501999999999995
Belgium,BEL,1997,5.785,5.968,-3.066353887399461,5.7741999999999996
Belgium,BEL,1998,5.833,5.968,-2.262064343163535,5.8006
Belgium,BEL,1999,5.938,5.968,-0.5026809651474572,5.8878
Belgium,BEL,2000,5.968,5.968,0.0,5.9266
Belgium,BEL,2001,6.146,5.968,2.982573726541554,5.934
Belgium,BEL,2002,6.139,5.968,2.865281501340487,6.0048
Belgium,BEL,2003,6.783,5.968,13.65616621983915,6.1948
Belgium,BEL,2004,6.986,5.968,17.057640750670238,6.4044
Belgium,BEL,2005,6.889,5.968,15.432305630026812,6.5886
Belgium,BEL,2006,6.801,5.968,13.957774798927616,6.7196
Belgium,BEL,2007,6.769,5.968,13.421581769437,6.8456
Belgium,BEL,2008,7.259,5.968,21.632037533512072,6.9408
Belgium,BEL,2009,7.864,5.968,31.769436997319033,7.1164000000000005
Belgium,BEL,2010,7.768,5.968,30.160857908847184,7.292199999999999
Belgium,BEL,2011,7.882,5.968,32.071045576407506,7.5084
Belgium,BEL,2012,8.02,5.968,34.383378016085786,7.7585999999999995
Belgium,BEL,2013,8.025,5.968,34.467158176943705,7.9117999999999995
Belgium,BEL,2014,8.067,5.968,35.17091152815014,7.9524
Belgium,BEL,2015,8.237,5.968,38.01943699731904,8.0462
Belgium,BEL,2016,8.276,5.968,38.67292225201072,8.125
Belgium,BEL,2017,8.279,5.968,38.72319034852546,8.1768
Belgium,BEL,2018,8.311,5.968,39.25938337801608,8.234
Belgium,BEL,2019,8.089,5.968,35.53954423592494,8.2384
Belgium,BEL,2020,8.796,5.968,47.386058981233234,8.3502
Belgium,BEL,2021,8.462,5.968,41.78954423592493,8.3874
Belgium,BEL,2022,8.082,5.968,35.422252010723874,8.348
Belgium,BEL,2023,8.202,5.968,37.43297587131367,8.3262
Brazil,BRA,1880,0.0,3.47,-100.0,0.0
Brazil,BRA,1890,0.0,3.47,-100.0,0.0
Brazil,BRA,1900,0.0,3.47,-100.0,0.0
Brazil,BRA,1910,0.0,3.47,-100.0,0.0
Brazil,BRA,1920,0.0,3.47,-100.0,0.0
Brazil,BRA,1930,0.0,3.47,-100.0,0.0
Brazil,BRA,2000,3.47,3.47,0.0,0.6940000000000001
Brazil,BRA,2001,3.513,3.47,1.2391930835734783,1.3966
Brazil,BRA,2002,3.686,3.47,6.224783861671463,2.1338
Brazil,BRA,2003,3.51,3.47,1.1527377521613713,2.8358
Brazil,BRA,2004,3.467,3.47,-0.08645533141210703,3.5292000000000003
Brazil,BRA,2005,3.345,3.47,-3.602305475504323,3.5042
Brazil,BRA,2006,3.542,3.47,2.074927953890479,3.5100000000000002
Brazil,BRA,2007,3.485,3.47,0.4322766570605095,3.4698
Brazil,BRA,2008,3.505,3.47,1.0086455331412016,3.4688000000000003
Brazil,BRA,2009,3.708,3.47,6.85878962536023,3.5170000000000003
Brazil,BRA,2010,3.577,3.47,3.0835734870316935,3.5634
Brazil,BRA,2011,3.467,3.47,-0.08645533141210703,3.5484
Brazil,BRA,2012,3.356,3.47,-3.2853025936599516,3.5225999999999997
Brazil,BRA,2013,3.556,3.47,2.4783861671469696,3.5328000000000004
Brazil,BRA,2014,3.709,3.47,6.887608069164261,3.533
Brazil,BRA,2015,3.861,3.47,11.26801152737752,3.5898000000000003
Brazil,BRA,2016,3.952,3.47,13.89048991354466,3.6868000000000003
Brazil,BRA,2017,3.959,3.47,14.092219020172905,3.8074
Brazil,BRA,2018,3.897,3.47,12.305475504322755,3.8756
Brazil,BRA,2019,3.93,3.47,13.256484149855908,3.9198
Bulgaria,BGR,1880,0.0,,,0.0
Bulgaria,BGR,1890,0.0,,,0.0
Bulgaria,BGR,1900,0.0,,,0.0
Bulgaria,BGR,1910,0.0,,,0.0
Bulgaria,BGR,1920,0.0,,,0.0
Bulgaria,BGR,1930,0.01,,,0.002
Bulgaria,BGR,2005,4.128,,,0.8276
Bulgaria,BGR,2006,3.659,,,1.5594
Bulgaria,BGR,2007,3.457,,,2.2508
Bulgaria,BGR,2008,3.532,,,2.9572
Bulgaria,BGR,2009,3.583,,,3.6718
Bulgaria,BGR,2010,3.932,,,3.6326
Bulgaria,BGR,2011,3.86,,,3.6728
Bulgaria,BGR,2012,3.845,,,3.7504
Bulgaria,BGR,2013,4.056,,,3.8552
Bulgaria,BGR,2014,4.493,,,4.0372
Bulgaria,BGR,2015,4.15,,,4.080800000000001
Bulgaria,BGR,2016,4.129,,,4.134600000000001
Bulgaria,BGR,2017,4.224,,,4.2104
Bulgaria,BGR,2018,4.332,,,4.265600000000001
Bulgaria,BGR,2019,4.297,,,4.2264
Bulgaria,BGR,2020,5.354,,,4.4672
Bulgaria,BGR,2021,5.598,,,4.761
Bulgaria,BGR,2022,4.868,,,4.889799999999999
Bulgaria,BGR,2023,4.831,,,4.9896
Canada,CAN,1880,0.0,5.771,-100.0,0.0
Canada,CAN,1890,0.0,5.771,-100.0,0.0
Canada,CAN,1900,0.0,5.771,-100.0,0.0
Canada,CAN,1910,0.0,5.771,-100.0,0.0
Canada,CAN,1920,0.01,5.771,-99.82671980592619,0.002
Canada,CAN,1930,0.02,5.771,-99.65343961185236,0.006
Canada,CAN,1960,2.0727615,5.771,-64.08314850112632,0.42055229999999993
Canada,CAN,1965,2.7635906,5.771,-52.112448449142256,0.9732704200000001
Canada,CAN,1970,4.406,5.771,-23.652746491076073,1.8544704199999997
Canada,CAN,1971,4.79,5.771,-16.99878703864148,2.81047042
Canada,CAN,1972,4.774,5.771,-17.27603534915959,3.76127042
Canada,CAN,1973,4.555,5.771,-21.070871599376197,4.25771812
Canada,CAN,1974,4.568,5.771,-20.845607347080232,4.6186
Canada,CAN,1975,4.971,5.771,-13.862415525905385,4.731599999999999
Canada,CAN,1976,5.032,5.771,-12.8054063420551,4.779999999999999
Canada,CAN,1977,4.989,5.771,-13.550511176572519,4.8229999999999995
Canada,CAN,1978,4.946,5.771,-14.295616011089935,4.9012
Canada,CAN,1979,4.823,5.771,-16.42696239819788,4.9521999999999995
Canada,CAN,1980,4.975,5.771,-13.793103448275868,4.953
Canada,CAN,1981,5.167,5.771,-10.46612372205857,4.9799999999999995
Canada,CAN,1982,5.756,5.771,-0.2599202911107205,5.1334
Canada,CAN,1983,5.883,5.771,1.9407381736267562,5.3208
Canada,CAN,1984,5.748,5.771,-0.39854444636977454,5.5058
Canada,CAN,1985,5.712,5.771,-1.0223531450355252,5.6532
Canada,CAN,1986,5.854,5.771,1.4382256108126874,5.7906
Canada,CAN,1987,5.803,5.771,0.5544966210362161,5.8
Canada,CAN,1988,5.779,5.771,0.13862415525905403,5.7791999999999994
Canada,CAN,1989,5.921,5.771,2.5992029111072665,5.8138000000000005
Canada,CAN,1990,6.212,5.771,7.6416565586553435,5.9138
Canada,CAN,1991,6.723,5.771,16.496274475827413,6.0876
Canada,CAN,1992,6.867,5.771,18.991509270490383,6.300400000000001
Canada,CAN,1993,6.651,5.771,15.248657078495926,6.4748
Canada,CAN,1994,6.316,5.771,9.443770577023045,6.5538
Canada,CAN,1995,6.053,5.771,4.88650147288165,6.522
Canada,CAN,1996,5.881,5.771,1.9060821348119965,6.3536
Canada,CAN,1997,5.802,5.771,0.5371686016288285,6.140600000000001
Canada,CAN,1998,6.004,5.771,4.037428521919939,6.0112
Canada,CAN,1999,5.81,5.771,0.6757927568878825,5.909999999999999
Canada,CAN,2000,5.771,5.771,0.0,5.8536
Canada,CAN,2001,6.012,5.771,4.176052677178992,5.8798
Canada,CAN,2002,6.135,5.771,6.30739906428695,5.9464
Canada,CAN,2003,6.303,5.771,9.218506324727084,6.0062
Canada,CAN,2004,6.335,5.771,9.7730029457633,6.1112
Canada,CAN,2005,6.312,5.771,9.374458499393526,6.2194
Canada,CAN,2006,6.482,5.771,12.32022179864842,6.3134
Canada,CAN,2007,6.569,5.771,13.827759487090626,6.400200000000001
Canada,CAN,2008,6.696,5.771,16.028417951828104,6.4788
Canada,CAN,2009,7.519,5.771,30.289377924103277,6.7156
Canada,CAN,2010,7.486,5.771,29.717553283659676,6.9504
Canada,CAN,2011,7.316,5.771,26.77178998440478,7.1171999999999995
Canada,CAN,2012,7.441,5.771,28.9377924103275,7.2916
Canada,CAN,2013,7.409,5.771,28.383295789291285,7.4342
Canada,CAN,2014,7.283,5.771,26.199965343961196,7.3870000000000005
Canada,CAN,2015,7.635,5.771,32.29942817535956,7.416799999999999
Canada,CAN,2016,7.731,5.771,33.9629180384682,7.4998000000000005
Canada,CAN,2017,7.618,5.771,32.004851845434075,7.535200000000001
Canada,CAN,2018,7.623,5.771,32.09149194247098,7.578
Canada,CAN,2019,7.686,5.771,33.18315716513602,7.6586
Canada,CAN,2020,9.612,5.771,66.55692254375325,8.053999999999998
Canada,CAN,2021,9.061,5.771,57.009183850285915,8.319999999999999
Canada,CAN,2022,8.0,5.771,38.62415525905389,8.3964
Canada,CAN,2023,7.912,5.771,37.0992895512043,8.4542
Chile,CHL,2000,3.733,3.733,0.0,3.733
Chile,CHL,2001,3.742,3.733,0.24109295472809797,3.7375
Chile,CHL,2002,3.807,3.733,1.9823198499866017,3.760666666666667
Chile,CHL,2003,3.786,3.733,1.4197696222877025,3.767
Chile,CHL,2004,3.662,3.733,-1.9019555317439103,3.746
Chile,CHL,2005,3.506,3.733,-6.0809000803643265,3.7006
Chile,CHL,2006,3.285,3.733,-12.001071524243233,3.6092
Chile,CHL,2007,3.416,3.733,-8.491829627645329,3.531
Chile,CHL,2008,3.801,3.733,1.8215912135012071,3.5340000000000003
Chile,CHL,2009,4.638,3.733,24.243236003214566,3.7292
Chile,CHL,2010,4.025,3.733,7.8221269756228295,3.8329999999999997
Chile,CHL,2011,4.043,3.733,8.304312885079026,3.9845999999999995
Chile,CHL,2012,4.211,3.733,12.804714706670243,4.1436
Chile,CHL,2013,4.437,3.733,18.858826680953662,4.2707999999999995
Chile,CHL,2014,4.622,3.733,23.814626305920164,4.2676
Chile,CHL,2015,4.906,3.733,31.422448432895784,4.4438
Chile,CHL,2016,5.006,3.733,34.1012590409858,4.6364
Chile,CHL,2017,5.468,3.733,46.477364050361636,4.8878
Chile,CHL,2018,5.565,3.733,49.07581034020895,5.1134
Chile,CHL,2019,5.68,3.733,52.15644253951245,5.325
Chile,CHL,2020,6.33,3.733,69.5687114920975,5.6098
Chile,CHL,2021,5.881,3.733,57.540851861773376,5.7848
Chile,CHL,2022,5.758,3.733,54.24591481382266,5.8427999999999995
Chile,CHL,2023,5.833,3.733,56.255022769890175,5.896400000000001
China,CHN,2000,0.986,0.986,0.0,0.986
China,CHN,2001,0.971,0.986,-1.521298174442192,0.9784999999999999
China,CHN,2002,1.109,0.986,12.474645030425965,1.022
China,CHN,2003,1.251,0.986,26.876267748478693,1.07925
China,CHN,2004,1.295,0.986,31.338742393509122,1.1224
China,CHN,2005,1.37,0.986,38.94523326572009,1.1992
China,CHN,2006,1.391,0.986,41.075050709939156,1.2832000000000001
China,CHN,2007,1.436,0.986,45.638945233265716,1.3486
China,CHN,2008,1.73,0.986,75.45638945233266,1.4444000000000001
China,CHN,2009,2.143,0.986,117.34279918864094,1.614
China,CHN,2010,2.177,0.986,120.79107505070994,1.7754
China,CHN,2011,2.315,0.986,134.7870182555781,1.9602
China,CHN,2012,2.547,0.986,158.316430020284,2.1824000000000003
China,CHN,2013,2.705,0.986,174.34077079107507,2.3774
China,CHN,2014,2.804,0.986,184.3813387423935,2.5096
China,CHN,2015,2.986,0.986,202.8397565922921,2.6713999999999998
China,CHN,2016,2.892,0.986,193.30628803245435,2.7868000000000004
China,CHN,2017,2.86,0.986,190.06085192697768,2.8494
China,CHN,2018,2.914,0.986,195.5375253549696,2.8912
China,CHN,2019,3.015,0.986,205.7809330628803,2.9334000000000002
China,CHN,2020,3.102,0.986,214.604462474645,2.9566000000000003
China,CHN,2021,2.904,0.986,194.5233265720081,2.9590000000000005
Colombia,COL,2000,4.312,4.312,0.0,4.312
Colombia,COL,2001,4.577,4.312,6.145640074211495,4.4445
Colombia,COL,2002,4.495,4.312,4.243970315398882,4.461333333333333
Colombia,COL,2003,4.608,4.312,6.864564007421135,4.498
Colombia,COL,2004,4.407,4.312,2.2031539888682685,4.4798
Colombia,COL,2005,4.499,4.312,4.336734693877537,4.5172
Colombia,COL,2006,4.712,4.312,9.276437847866406,4.5442
Colombia,COL,2007,4.749,4.312,10.134508348794048,4.595
Colombia,COL,2008,4.911,4.312,13.891465677179946,4.6556
Colombia,COL,2009,5.438,4.312,26.113172541743957,4.8618
Colombia,COL,2010,5.29,4.312,22.68089053803339,5.02
Colombia,COL,2011,5.15,4.312,19.434137291280148,5.1076
Colombia,COL,2012,4.984,4.312,15.584415584415575,5.1546
Colombia,COL,2013,5.304,4.312,23.005565862708718,5.2332
Colombia,COL,2014,5.474,4.312,26.948051948051944,5.2404
Colombia,COL,2015,5.741,4.312,33.14007421150277,5.3306000000000004
Colombia,COL,2016,5.731,4.312,32.908163265306115,5.4468
Colombia,COL,2017,5.882,4.312,36.41001855287568,5.6264
Colombia,COL,2018,5.892,4.312,36.641929499072354,5.744
Colombia,COL,2019,5.947,4.312,37.91743970315398,5.8386
Colombia,COL,2020,6.744,4.312,56.40074211502781,6.039199999999999
Colombia,COL,2021,7.067,4.312,63.89146567717996,6.3064
Colombia,COL,2022,5.827,4.312,35.13450834879405,6.2954
Colombia,COL,2023,5.9,4.312,36.82745825602968,6.297
Costa Rica,CRI,2000,4.335,4.335,0.0,4.335
Costa Rica,CRI,2001,4.297,4.335,-0.8765859284890485,4.316
Costa Rica,CRI,2002,4.65,4.335,7.266435986159178,4.427333333333333
Costa Rica,CRI,2003,4.689,4.335,8.166089965397925,4.49275
Costa Rica,CRI,2004,4.431,4.335,2.2145328719723203,4.4804
Costa Rica,CRI,2005,4.321,4.335,-0.32295271049596846,4.4776
Costa Rica,CRI,2006,4.641,4.335,7.058823529411766,4.5464
Costa Rica,CRI,2007,4.685,4.335,8.073817762399068,4.5534
Costa Rica,CRI,2008,5.121,4.335,18.131487889273366,4.639799999999999
Costa Rica,CRI,2009,5.638,4.335,30.057670126874275,4.8812
Costa Rica,CRI,2010,5.871,4.335,35.4325259515571,5.1912
Costa Rica,CRI,2011,5.919,4.335,36.539792387543244,5.4468
Costa Rica,CRI,2012,5.766,4.335,33.010380622837374,5.663
Costa Rica,CRI,2013,5.751,4.335,32.6643598615917,5.789
Costa Rica,CRI,2014,5.59,4.335,28.950403690888116,5.7794
Costa Rica,CRI,2015,5.682,4.335,31.0726643598616,5.7416
Costa Rica,CRI,2016,5.494,4.335,26.735870818915796,5.6566
Costa Rica,CRI,2017,5.282,4.335,21.845444059976934,5.5598
Costa Rica,CRI,2018,5.379,4.335,24.083044982698954,5.4854
Costa Rica,CRI,2019,5.339,4.335,23.16032295271051,5.4352
Costa Rica,CRI,2020,5.931,4.335,36.8166089965398,5.485
Costa Rica,CRI,2021,5.689,4.335,31.234140715109575,5.524
Costa Rica,CRI,2022,5.209,4.335,20.161476355247974,5.5094
Costa Rica,CRI,2023,5.033,4.335,16.10149942329874,5.4402
Croatia,HRV,2005,5.876,,,5.876
Croatia,HRV,2006,5.92,,,5.898
Croatia,HRV,2007,6.402,,,6.066
Croatia,HRV,2008,6.477,,,6.16875
Croatia,HRV,2009,6.864,,,6.3078
Croatia,HRV,2010,6.811,,,6.4948
Croatia,HRV,2011,5.936,,,6.498
Croatia,HRV,2012,6.07,,,6.4316
Croatia,HRV,2013,5.441,,,6.2244
Croatia,HRV,2014,5.47,,,5.9456
Croatia,HRV,2015,5.516,,,5.6866
